track_id,track_name,artist_name,streams
0HAG6nIiEKd75yGpovuSJQ,Isa lang,Arthur Nery,90
7ArVzlFsFsQXNseVXmdOyk,NVMD,Denise Julia,90
5d9Rka4T0szdC1MobhtXrV,Paninindigan Kita,Ben&Ben,90
1oYQtNQUxSODedcc5hPmp9,Muli,Ace Banzuelo,90
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,90
47sq83n5WN22ZzYnGn8aTy,Mahika,Adie,90
1gH1h30wkQdd9zhY3j7a8T,THE SHADE,Rex Orange County,90
4mc3rUoMwwiNTHA4al9nNd,Fallen,Lola Amour,90
1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,90
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,90
0a4MMyCrzT0En247IhqZbD,Hype Boy,NewJeans,90
6VhuP99TE6gYNQRJIlAWFD,Until I Found You,Stephen Sanchez,90
2e7iqtA42EPXTtiiAlblC1,"Babalik Sa'yo (from ""2 Good 2 Be True"")",Moira Dela Torre,90
3W4U7TEgILGpq0EmquurtH,Old Love,yuji,90
0kDeE8TezXDY1QadpjAQQq,Bahala Na,Kenaniah,90
4AULw1VRyJP17zMvwgTIUs,Umaasa,Calein,90
4z7xboLD3PqY9dOUscS2ly,Ikaw Pa Rin,mrld,90
5Odq8ohlgIbQKMZivbWkEo,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,90
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,90
3h8uWt8HNyDNubPSEBgTPG,Yakap,Zack Tabudlo,90
5odlY52u43F5BjByhxg7wg,golden hour,JVKE,90
78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,90
5xwBIieMMFUmLDgvG4DjFe,Fall In Love Alone,Stacey Ryan,90
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,90
5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Taylor Swift,90
3rWDp9tBPQR9z6U5YyRSK4,Midnight Rain,Taylor Swift,90
2xRGPubKBTHX6iyrpQvtCy,Wet The Bed (feat. Ludacris),Chris Brown,80
0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,90
6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,90
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,90
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,90
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,90
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,89
0uZFcsx96wzbixsULmrg8o,Pasilyo,SunKissed Lola,90
3r8RuvgbX9s7ammBn07D3W,Ditto,NewJeans,90
65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,89
2vnd3JVvcLs2LxRFwC6mKu,City Girl,Shanti Dope,85
50x1Ic8CaXkYNvjmxe3WXy,Those Eyes,New West,85
