track_id,track_name,artist_name,streams,artist_id,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
5NXdUJ3Z2jhlp2u1cj6f7m,Balang Araw - Single Version,I Belong to the Zoo,363,7tKpXx21KVUOR6vvDs6xtg,288207,0.523,0.391,7.0,-9.283,1.0,0.0298,0.395,0.0,0.142,0.354,139.905,"['opm', 'pinoy indie']"
2tzAN1L07SNwnOdgOEeuQr,Pauwi Nako,PDL,356,0iqkVK6sTXi7DZWWOeKy8Q,341573,0.657,0.746,1.0,-6.277,1.0,0.0464,0.0175,0.0,0.107,0.467,136.887,"['pinoy hip hop', 'pinoy r&b']"
3OpGUlDmRUXh0NkIYWoIlD,Your Song,Parokya Ni Edgar,341,2XHTklRsNMOOQT56Zm3WS4,168493,0.636,0.159,11.0,-13.117,1.0,0.0549,0.892,0.0,0.112,0.658,119.766,"['opm', 'pinoy reggae', 'pinoy rock']"
6wdCelHrPh7UfliNjwRTUv,Leaves,Ben&Ben,365,4DAcJXcjX0zlQAZAPAx4Zb,310708,0.447,0.16,6.0,-10.896,1.0,0.0372,0.913,0.0,0.0891,0.205,118.313,['opm']
5l9g7py8RCblcvbZgGQgSd,Pagtingin,Ben&Ben,366,4DAcJXcjX0zlQAZAPAx4Zb,227370,0.669,0.42,2.0,-8.464,1.0,0.0253,0.506,0.0,0.404,0.523,95.049,['opm']
4rG3h1QwgjSSWz8EIjCFrm,Araw-Araw,Ben&Ben,356,4DAcJXcjX0zlQAZAPAx4Zb,313951,0.475,0.424,11.0,-8.39,1.0,0.0295,0.582,0.0,0.234,0.224,140.903,['opm']
6VqZS3Wmf53pbfDBVEYvnP,Hindi Tayo Pwede,The Juans,366,1YlibpAvhJBbMZMBwN1KGv,303937,0.283,0.281,11.0,-11.414,1.0,0.035,0.437,0.00114,0.102,0.127,79.919,"['opm', 'p-pop']"
65sEZZaxTjLMD8vNgPoMz5,Imahe,Magnus Haven,366,28B54RKpJrEmDoGSTjsfY6,321817,0.604,0.446,9.0,-8.01,1.0,0.0341,0.63,0.0,0.0859,0.199,143.946,"['opm', 'p-pop']"
2Mo4pOpCYXOu33856sMQLh,Make It With You,Ben&Ben,366,4DAcJXcjX0zlQAZAPAx4Zb,209782,0.558,0.458,4.0,-10.711,1.0,0.0485,0.7,2.11e-05,0.186,0.342,86.877,['opm']
63qA4ydokzNOFpsaNlsYsC,Higa,Arthur Nery,355,7uDdl5V5AETSFY7K3muu22,245760,0.657,0.337,9.0,-10.546,1.0,0.0433,0.45,0.0,0.106,0.183,125.057,"['cdo indie', 'opm', 'p-pop']"
2v5VIWMjZxeiG52KckiXxS,Ikaw Lamang,Silent Sanctuary,351,4nGp682WMiKS4X217kPw8C,306466,0.394,0.623,9.0,-5.029,1.0,0.0384,0.573,0.0,0.0937,0.316,115.003,"['opm', 'pinoy rock']"
0HZ3OUVrGHxttD2EuHqRm3,The Day You Said Goodnight,Hale,359,6Ww3OMFzCaO33ulKh1LBFN,291357,0.558,0.553,4.0,-6.669,1.0,0.0323,0.492,0.0,0.116,0.251,134.263,"['opm', 'pinoy reggae', 'pinoy rock']"
16iRlyUMJVPqz62DlomMre,Ikaw Lang,NOBITA,365,5GVk1KCKa1tdHRev4bMw7V,263500,0.513,0.38,11.0,-11.091,1.0,0.0336,0.12,0.0,0.0924,0.323,120.952,['opm']
55RMhrPQYA6vLu5YMgXxFD,Binibini,Zack Tabudlo,357,67IN4cLJ7798gUapyZlmac,221538,0.642,0.374,5.0,-10.606,1.0,0.032,0.423,1.54e-06,0.435,0.0979,129.863,"['acoustic opm', 'p-pop', 'pop']"
63bmIgH9sS6sX5Sc7MetGq,Habang Buhay,Zack Tabudlo,362,67IN4cLJ7798gUapyZlmac,244067,0.62,0.668,9.0,-5.719,1.0,0.0305,0.088,0.0,0.362,0.183,118.013,"['acoustic opm', 'p-pop', 'pop']"
4iRRAvxPPWXQp3mV1rAbPF,Unang Sayaw,NOBITA,364,5GVk1KCKa1tdHRev4bMw7V,278008,0.5,0.397,9.0,-11.653,1.0,0.0557,0.412,0.0,0.126,0.375,180.045,['opm']
08MFgEQeVLF37EyZ7jcwLc,Pano,Zack Tabudlo,365,67IN4cLJ7798gUapyZlmac,254400,0.375,0.457,3.0,-7.018,1.0,0.0315,0.868,0.0145,0.191,0.415,174.839,"['acoustic opm', 'p-pop', 'pop']"
3Eb5sztvEMa0Mqnb8DUAlU,Come Inside Of My Heart,IV Of Spades,90,4k9wp4ipHdA1bu1T4x1ZTG,246396,0.676,0.565,10.0,-9.411,1.0,0.03,0.00321,0.000579,0.241,0.689,113.007,"['opm', 'p-pop', 'pinoy trap', 'pop']"
3PgjBOoA5OytNGkglObpOd,Sa Susunod na Habang Buhay,Ben&Ben,90,4DAcJXcjX0zlQAZAPAx4Zb,288189,0.311,0.342,2.0,-8.889,1.0,0.032,0.432,1.93e-06,0.114,0.274,177.158,['opm']
0WZqHCoOBXqgCCIsUZLC2a,Pagsamo,Arthur Nery,90,7uDdl5V5AETSFY7K3muu22,297001,0.644,0.315,6.0,-9.382,1.0,0.0339,0.706,0.00162,0.0962,0.356,60.001,"['cdo indie', 'opm', 'p-pop']"
7C9Knp9FzLY6RwgktmW9Ge,BMW,Because,81,0n4a5imdLBN24fIrBWoqrv,168205,0.758,0.39,1.0,-9.799,1.0,0.0485,0.567,0.0,0.099,0.238,117.048,"['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']"
4IeuTj1pEHuL9vJSiEqEfR,Ligaya,mrld,90,31fsDbpNPKe346urriO4ma,248800,0.458,0.533,0.0,-5.249,1.0,0.0381,0.447,0.0,0.114,0.343,149.832,['opm']
2xCkiGqGMkAIg6fQTag51C,Sino,Unique Salonga,90,30mZI7Hw2MhoarTVYxfyZM,280426,0.676,0.43,11.0,-10.563,1.0,0.0232,0.169,0.0309,0.109,0.226,104.982,"['opm', 'pinoy city pop', 'pinoy indie']"
0HAG6nIiEKd75yGpovuSJQ,Isa lang,Arthur Nery,90,7uDdl5V5AETSFY7K3muu22,269256,0.429,0.464,6.0,-8.445,0.0,0.0719,0.783,0.0,0.0846,0.375,121.17,"['cdo indie', 'opm', 'p-pop']"
5d9Rka4T0szdC1MobhtXrV,Paninindigan Kita,Ben&Ben,90,4DAcJXcjX0zlQAZAPAx4Zb,312234,0.624,0.596,4.0,-9.288,1.0,0.0308,0.107,0.0,0.357,0.75,113.204,['opm']
1oYQtNQUxSODedcc5hPmp9,Muli,Ace Banzuelo,90,3f0X043zSojego7Qn4Yi6U,290004,0.482,0.881,11.0,-3.62,0.0,0.0533,0.0128,0.0,0.103,0.281,144.02,"['opm', 'p-pop', 'pinoy indie', 'pinoy r&b', 'tagalog rap']"
4mc3rUoMwwiNTHA4al9nNd,Fallen,Lola Amour,90,29zSTMejPhY0m7kwNQ9SPI,201806,0.652,0.76,6.0,-4.098,0.0,0.0406,0.221,9.09e-05,0.147,0.615,98.079,"['opm', 'pinoy indie']"
2e7iqtA42EPXTtiiAlblC1,"Babalik Sa'yo (from ""2 Good 2 Be True"")",Moira Dela Torre,90,0rZRTXEmmPmx6gt92tBqIc,229711,0.515,0.65,1.0,-7.798,0.0,0.093,0.168,0.0,0.33,0.695,157.866,['opm']
0kDeE8TezXDY1QadpjAQQq,Bahala Na,Kenaniah,90,2owtRYReKCG1n2AAS5AcpS,228688,0.874,0.404,11.0,-11.168,1.0,0.0861,0.424,0.000101,0.0959,0.762,122.001,"['opm', 'pinoy indie']"
4AULw1VRyJP17zMvwgTIUs,Umaasa,Calein,90,0DpLoyGVbhOHNR3ht2oO9y,335624,0.627,0.433,9.0,-9.868,1.0,0.0232,0.295,0.393,0.332,0.353,96.016,"['pinoy city pop', 'pinoy indie']"
4z7xboLD3PqY9dOUscS2ly,Ikaw Pa Rin,mrld,90,31fsDbpNPKe346urriO4ma,191009,0.412,0.374,4.0,-11.538,1.0,0.0307,0.692,7.38e-06,0.168,0.306,108.926,['opm']
3h8uWt8HNyDNubPSEBgTPG,Yakap,Zack Tabudlo,90,67IN4cLJ7798gUapyZlmac,178947,0.738,0.39,8.0,-8.437,1.0,0.0334,0.409,0.0,0.107,0.547,113.979,"['acoustic opm', 'p-pop', 'pop']"
0uZFcsx96wzbixsULmrg8o,Pasilyo,SunKissed Lola,90,4bLLB1dbsRVUTcMpnDGDO2,270250,0.71,0.61,2.0,-4.674,1.0,0.0351,0.415,2.67e-05,0.181,0.404,120.032,['pinoy indie rock']
2vnd3JVvcLs2LxRFwC6mKu,City Girl,Shanti Dope,85,6ogIjp0fsbUxlqy9q2rvrT,188976,0.684,0.471,0.0,-9.995,1.0,0.0401,0.403,2.96e-05,0.113,0.247,127.026,"['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']"
47OFMuRu5lzJHRbtEXPBbs,Uhaw (Tayong Lahat),Dilaw,90213,6Dp4LInLyMVA2qhRqQ6AGL,241185,0.635,0.724,5.0,-6.662,1.0,0.0716,0.28,4e-06,0.105,0.316,135.927,opm
